-93.34454289,45.10937379,1011675,Child Care Center,3R's Early Childhood Learning Center Inc,4900 85th Ave N, , ,Brooklyn Park,MN,55443-1957,Hennepin,(763) 315-5006,Active,3R's Early Childhood Learning Center  LLC,206,Day time child care Ages Served: Infants; Toddlers; Preschool; School age,None,Child Care Center,Minnesota Department of Human Services,35676,41274,41638
-93.37977502,44.87967203,800020,Child Care Center,ABC Express,6820 St. Patrick Lane, , ,Edina,MN,55439,Hennepin,(952) 941-8973,Active,ABC Express  Inc.,79,Day time child care Ages Served: Toddlers; Preschool,None,Child Care Center,Minnesota Department of Human Services,29817,41274,41638
-93.35211973,45.11038212,800255,Child Care Center,ABC Pre K,5600 85th Ave N, , ,Brooklyn Park,MN,55443,Hennepin,(763) 488-6354,Active,Brooklyn Park Preschool Cac,27,Day time child care Ages Served: Preschool,None,Child Care Center,Minnesota Department of Human Services,29186,41274,41638
-93.74084748,45.08963055,1079089,Child Care Center,A to Z Childrens Academy,5821 Tower St S Ste C, , ,Rockford,MN,55373,Hennepin,(763) 777-9205,Active,A to Z Childrens Academy,60,Day time child care Ages Served: Infants; Toddlers; Preschool,None,Child Care Center,Minnesota Department of Human Services,40911,41274,41638
-93.2936707,45.00282866,830242,Child Care Center,Agape I Child Development Center,2304 Emerson Ave N, , ,Minneapolis,MN,55411,Hennepin,(612) 287-9775,Active,Agape Child Development Center,129,Day time child care Ages Served: Infants; Toddlers; Preschool; School age  Service: Night time child care Ages Served: Infants; Toddlers; Preschool; School age,Open 24 Hours a Day,Child Care Center,Minnesota Department of Human Services,34181,41274,41638
-93.23553221,44.95504185,1080082,Child Care Center,2nd Home Childcare LLC,2600 26th Ave S #300, , ,Minneapolis,MN,55406,Hennepin,(612) 814-1531,Active,2nd Home Childcare LLC,77,Day time child care Ages Served: Infants; Toddlers; Preschool; School age,None,Child Care Center,Minnesota Department of Human Services,41053,41274,41638
-93.24707556,44.94832168,1077083,Child Care Center,A to Z Family Child Care Inc,1831 E Lake St, , ,Minneapolis,MN,55407,Hennepin,(612) 249-5190,Active,A to Z Family Child Care Inc,30,Day time child care Ages Served: Infants; Toddlers; Preschool; School age,None,Child Care Center,Minnesota Department of Human Services,41111,41274,41638
-93.28108152,44.99690296,1080068,Child Care Center,ALIF Early Learning Center,1718 Washington Ave N, , ,Minneapolis,MN,55411,Hennepin,(612) 545-5288,Active,ALIF Early Learning Center,16,Day time child care Ages Served: Preschool,None,Child Care Center,Minnesota Department of Human Services,41130,41274,41638
-93.33943256,45.00394257,830260,Child Care Center,All God's Children Learning Center,4735 Bassett Creek Dr, , ,Golden Valley,MN,55422,Hennepin,(763) 588-5437,Active,All God's Children Learning Center,68,Day time child care Ages Served: Infants; Toddlers; Preschool; School age,None,Child Care Center,Minnesota Department of Human Services,34212,41274,41638
-93.48264019,44.9032616,800065,Child Care Center,All Saints Preschool,15915 Excelsior Blvd, , ,Minnetonka,MN,55345,Hennepin,(952) 934-3552,Active,All Saints Lutheran Church Minnetonka,67,Day time child care Ages Served: Toddlers; Preschool; School age,Program may not have any toddlers under 30 months of age.,Child Care Center,Minnesota Department of Human Services,22646,41274,41638
-93.48264019,44.9032616,800064,Child Care Center,All Saints Child Care Center,15915 Excelsior Blvd, , ,Minnetonka,MN,55345,Hennepin,(952) 934-4156,Active,All Saints Lutheran Church Minnetonka,57,Day time child care Ages Served: Infants; Toddlers; Preschool,None,Child Care Center,Minnesota Department of Human Services,29831,41274,41638
-93.27699284,44.95170123,1082864,Child Care Center,Angels Fun Area LLC,2800 1st Ave S, , ,Minneapolis,MN,55408,Hennepin,(612) 886-3759,Active,Angels Fun Area LLC,84,Day time child care Ages Served: Infants; Toddlers; Preschool; School age,None,Child Care Center,Minnesota Department of Human Services,41285,41285,41638
-93.25257289,44.88309564,1005117,Child Care Center,Appleseed Montessori School & Child Care Center  Inc.,6601 Bloomington Ave S, , ,Richfield,MN,55423,Hennepin,(612) 866-0038,Active,Appleseed Montessori School & Child Care Center  Inc.,103,Day time child care Ages Served: Infants; Toddlers; Preschool,None,Child Care Center,Minnesota Department of Human Services,35250,41274,41638
-93.24688955,44.96484746,800081,Child Care Center,Anew Dimension Child Enrichment Center,1819 Minnehaha Ave S, , ,Minneapolis,MN,55404,Hennepin,(612) 339-2333,Active,Anew Dimension Child Enrichment Center,82,Day time child care Ages Served: Infants; Toddlers; Preschool; School age,None,Child Care Center,Minnesota Department of Human Services,30411,41274,41638
-93.54842283,45.18956949,1077407,Child Care Center,Appletime Inc,21051 John Milless Dr, , ,Rogers,MN,55374,Hennepin,(763) 428-8462,Active,Appletime Child Care  Inc.,115,Day time child care Ages Served: Infants; Toddlers; Preschool; School age,None,Child Care Center,Minnesota Department of Human Services,40908,41274,41638
-93.2489509,44.95797224,1044125,Child Care Center,Babys Space,2438 18th Ave S, , ,Minneapolis,MN,55404,Hennepin,(612) 729-5171,Active,Baby's Space/Tatanka Academy,99,Day time child care Ages Served: Infants; Toddlers; Preschool; School age,None,Child Care Center,Minnesota Department of Human Services,37560,41282,41638
-93.3298541,45.07121979,1081337,Child Care Center,Aubrey Della Early Childhood Family Development Center,6415 Brooklyn Blvd, , ,Brooklyn Center,MN,55429,Hennepin,(763) 535-7422,Active,Parents in Community Action  Inc.,64,Day time child care Ages Served: Infants; Toddlers; Preschool,None,Child Care Center,Minnesota Department of Human Services,41080,41274,41638
-93.25238674,44.87407673,1055397,Child Care Center,Augsburg Park Montessori School Ltd,7121 Bloomington Ave S, , ,Richfield,MN,55423,Hennepin,(612) 869-8155,Active,Augsburg Park Montessori School Ltd,26,Day time child care Ages Served: Preschool; School age,None,Child Care Center,Minnesota Department of Human Services,38595,41274,41638
